State,Year,Days.with.AQI,Good.Days,Moderate.Days,Unhealthy.for.Sensitive.Groups.Days,Unhealthy.Days,Very.Unhealthy.Days,Hazardous.Days,Max.AQI,X90th.Percentile.AQI,Median.AQI,Days.CO,Days.NO2,Days.Ozone,Days.PM2.5,Days.PM10
Idaho,2000,76,65,11,0,0,0,0,78,55,26,0,0,0,43,49
Idaho,2001,247,211.5,32,2.5,1,0,0,122.5,54.5,29.5,91,0,0,77.5,78.5
Idaho,2002,125,111,14,1,0,0,0,102,55,25,1,0,0,56,20
Idaho,2003,365,275,14,0,0,0,0,97,46,23,23,0,0,44,50
Idaho,2004,266,243,23,0,0,0,0,88,49,27,0,0,0,107,0
Idaho,2005,326,267,32,2,0,0,0,114,52,27,0,0,0,156,0
Idaho,2006,332.5,255.5,75,2,0,0,0,97,60,34.5,1,0,46.5,259.5,25.5
Idaho,2007,328.5,247.5,80,1,0,0,0,110,60.5,33.5,0,0,0,299.5,29
Idaho,2008,311,274,37,0,0,0,0,89,52.5,27.5,0,0,0,255,56
Idaho,2009,323.5,299,24,0.5,0,0,0,98,46.5,23,0,0,0,203.5,120
Idaho,2010,355.5,320,34.5,1,0,0,0,129,47,24.5,0,0,0,263.5,92
Idaho,2011,354,335.5,18,0.5,0,0,0,88,40.5,21,0,0,0,201.5,152.5
Idaho,2012,352,311.5,38,1,1.5,0,0,167,52,19,0,0,0,204.5,147.5
Idaho,2013,308.5,288,18.5,1.5,0.5,0,0,135.5,42,17,0,0,0,180,128.5
Idaho,2014,365,351,13,0,1,0,0,156,36,15,0,0,0,46,319
Idaho,2015,319.5,286,27,5.5,1,0,0,148,50,25.5,0,0,0,262,57.5
Idaho,2016,359,302,55,2,0,0,0,90.5,47,27.5,0,0,0,349,10
Idaho,2017,326.5,240,75,9,2.5,0,0,158.5,68,32.5,0,0,0,303.5,23
Idaho,2018,360,298,57,4,1,0,0,142.5,60,28.5,0,0,0,322.5,37.5
Idaho,2019,365,336,29,0,0,0,0,83,43.5,22,0,0,0,319.5,45.5
Idaho,2020,365,293.5,60,6.5,5,0,0,158,60.5,25.5,0,0,0,345.5,19.5
Idaho,2021,363,290,65,6,2,0,0,155,61.5,28.5,0,0,0,339,24
Idaho,2022,175,156,19,0,0,0,0,75,51.5,22,0,0,0,157.5,17.5
Idaho,2023,172,162.5,9.5,0,0,0,0,76,38.5,19.5,0,0,0,161,11
Oregon,2000,345,299,46,0,0,0,0,95,55,31,127,0,145,73,0
Oregon,2001,335,307,27,1,0,0,0,134,47,29,114,0,143,78,0
Oregon,2002,338,304,31,3,0,0,0,109,51,31,119,0,148,71,0
Oregon,2003,327,297,24,6,0,0,0,133,50,29,160,0,145,22,0
Oregon,2004,366,304,60,2,0,0,0,115,62,31,43,0,135,188,0
Oregon,2005,365,293,65,7,0,0,0,133,63,32,14,0,144,207,0
Oregon,2006,363,293,63,6,1,0,0,154,64,31,23,0,139,201,0
Oregon,2007,365,304,55,6,0,0,0,115,60,30,0,0,149,216,0
Oregon,2008,356,300,54,2,0,0,0,150,60,31,0,0,138,218,0
Oregon,2009,361,285,75,1,0,0,0,140,65,33,0,0,141,220,0
Oregon,2010,365,326,38,1,0,0,0,126,52,27,0,0,134,231,0
Oregon,2011,365,298,67,0,0,0,0,95,61,31,0,0,141,224,0
Oregon,2012,364,310,54,0,0,0,0,93,55,29,0,0,132,232,0
Oregon,2013,361,279,77,5,0,0,0,123,64,33,0,0,135,226,0
Oregon,2014,365,308,56,0,1,0,0,154,56,31,0,0,134,231,0
Oregon,2015,365,307,55,1,2,0,0,170,59,33,0,0,143,222,0
Oregon,2016,361,325,36,0,0,0,0,97,50,30,0,0,147,214,0
Oregon,2017,362,303,50,9,0,0,0,150,58,30,0,0,141,221,0
Oregon,2018,361,304,51,6,0,0,0,125,58,32,0,0,139,222,0
Oregon,2019,356,302,54,0,0,0,0,92,59,32,0,0,138,218,0
Oregon,2020,365,302,52,1,1,0,9,641,58,32,0,0,131,234,0
Oregon,2021,363,316,47,0,0,0,0,93,55,33,0,0,144,219,0
Oregon,2022,181,157,24,0,0,0,0,91,53,30,0,0,60,121,0
Oregon,2023,181,160,19,2,0,0,0,124,52,30,0,0,63,118,0
Washington,2000,351,318,29.5,3.5,0,0,0,131,46.5,17,130.5,0,0,64.5,156
Washington,2001,352.5,319.5,29,2.5,1.5,0,0,171.5,48.5,20,115.5,0,0,138.5,98.5
Washington,2002,303.5,268,33.5,2,0,0,0,126,54.5,22.5,63,0,0,132,108.5
Washington,2003,299.5,261.5,35,2.5,0,0,0.5,728,56,21.5,60,0,0,130.5,109
Washington,2004,333,277,50,3.5,2,0,0.5,294.5,60.5,26.5,42,0,0,230,61
Washington,2005,362,292,61.5,7,1,0,0.5,318.5,66,27,0.5,0,0,289,72.5
Washington,2006,365,268,89,7,1,0,0,153.5,69.5,33.5,0,0,0,327,38
Washington,2007,365,274.5,86.5,4,0,0,0,124.5,65.5,30,0,0,0,303,62
Washington,2008,366,280,78.5,7,0.5,0,0,117,65.5,32,0,0,0,335.5,30.5
Washington,2009,363.5,295.5,62.5,4.5,1,0,0,160,62.5,28,0,0,0,326.5,37
Washington,2010,365,311,52,2,0,0,0,108,57,22.5,0,0,0,356,9
Washington,2011,363.5,293.5,64.5,4.5,1,0,0,129,62,24,0,0,0,327,36.5
Washington,2012,365,280.5,80.5,1.5,2.5,0,0,134.5,62.5,29.5,0,0,0,335.5,29.5
Washington,2013,363.5,270.5,82.5,8,2,0,0.5,335.5,68.5,31.5,0,0,0,310.5,53
Washington,2014,356.5,295.5,56,4,1,0,0,143.5,56,25,0,0,0,286,70.5
Washington,2015,362.5,264,83.5,12,2.5,0,0.5,333,73.5,33,0,0,41.5,294.5,26.5
Washington,2016,366,291,68,5,2,0,0,154,61,32,0,0,63.5,281.5,21
Washington,2017,365,253,90.5,15,5,1.5,0,236,83,35.5,0,0,48,293.5,23.5
Washington,2018,365,265,85,9.5,4.5,1,0,196,72,37,0,0,64.5,274,26.5
Washington,2019,364.5,265,94.5,5,0,0,0,103.5,65.5,37.5,0,0,79,277,8.5
Washington,2020,365.5,282.5,69.5,4.5,2.5,2,4.5,686.5,65,34,0,0,57,272,36.5
Washington,2021,365,266,81,9,9,0,0,182,75,37.5,0,0,64.5,257,43.5
Washington,2022,212,180.5,30.5,1,0,0,0,104.5,54.5,31.5,0,0,50.5,139.5,22
Washington,2023,181,147.5,33,0.5,0,0,0,101.5,59,33,0,0,33,136,12
