Variety,Yield,Year,State,File
Cascade,1802,2012,Oregon,10.pdf
Centennial,1779,2012,Oregon,10.pdf
Golding,1527,2012,Oregon,10.pdf
Liberty,2519,2012,Oregon,10.pdf
Magnum,1737,2012,Oregon,10.pdf
Millennium,,2012,Oregon,10.pdf
Mt. Hood,1737,2012,Oregon,10.pdf
Nugget,2071,2012,Oregon,10.pdf
Perle,,2012,Oregon,10.pdf
Sterling,,2012,Oregon,10.pdf
Super Galena,2763,2012,Oregon,10.pdf
Tettnanger,1493,2012,Oregon,10.pdf
Willamette,1663,2012,Oregon,10.pdf
Other,1690,2012,Oregon,10.pdf
Ahtanum YCR 1,1489,2012,Washington,10.pdf
Apollo,2655,2012,Washington,10.pdf
Bravo,2647,2012,Washington,10.pdf
Cascade,1854,2012,Washington,10.pdf
Centennial,1354,2012,Washington,10.pdf
Chelan,,2012,Washington,10.pdf
Chinook,1699,2012,Washington,10.pdf
Citra HBC 394,1342,2012,Washington,10.pdf
Cluster,1965,2012,Washington,10.pdf
Columbus/Tomahawk,2280,2012,Washington,10.pdf
Crystal,1184,2012,Washington,10.pdf
Galena,1742,2012,Washington,10.pdf
Glacier,1461,2012,Washington,10.pdf
Golding,,2012,Washington,10.pdf
Millennium,2017,2012,Washington,10.pdf
Mt. Hood,1264,2012,Washington,10.pdf
Northern Brewer,1443,2012,Washington,10.pdf
Nugget,1679,2012,Washington,10.pdf
Simcoe YCR 14,1679,2012,Washington,10.pdf
Summit,2084,2012,Washington,10.pdf
Super Galena,2645,2012,Washington,10.pdf
Tettnanger,1003,2012,Washington,10.pdf
Vanguard,1280,2012,Washington,10.pdf
Willamette,1359,2012,Washington,10.pdf
Palisade YCR 4,2356,2012,Washington,10.pdf
Warrior YCR 5,1968,2012,Washington,10.pdf
Zeus,2390,2012,Washington,10.pdf
Other,1455,2012,Washington,10.pdf
Apollo,1798,2017,Idaho,105.pdf
Bravo,2799,2017,Idaho,105.pdf
Calypso,2159,2017,Idaho,105.pdf
Cascade,1771,2017,Idaho,105.pdf
Centennial,2028,2017,Idaho,105.pdf
Chinook,1665,2017,Idaho,105.pdf
Citra HBC 394,1657,2017,Idaho,105.pdf
Crystal,2084,2017,Idaho,105.pdf
El Dorado,2163,2017,Idaho,105.pdf
Mosaic HBC 369,2581,2017,Idaho,105.pdf
Ahtanum YCR 1,1494,2017,Idaho,105.pdf
Super Galena,,2017,Idaho,105.pdf
Willamette,1689,2017,Idaho,105.pdf
Zeus,2756,2017,Idaho,105.pdf
Experimental,611,2017,Idaho,105.pdf
Other Varieties,1929,2017,Idaho,105.pdf
Cascade,1425,2017,Oregon,105.pdf
Centennial,1273,2017,Oregon,105.pdf
Chinook,1667,2017,Oregon,105.pdf
Citra HBC 394,1475,2017,Oregon,105.pdf
Crystal,1772,2017,Oregon,105.pdf
Fuggle,1251,2017,Oregon,105.pdf
Golding,1181,2017,Oregon,105.pdf
Liberty,,2017,Oregon,105.pdf
Magnum,1714,2017,Oregon,105.pdf
Mosaic HBC 369,1875,2017,Oregon,105.pdf
Mt. Hood,1439,2017,Oregon,105.pdf
Nugget,1820,2017,Oregon,105.pdf
Perle,1164,2017,Oregon,105.pdf
Ahtanum YCR 1,1421,2017,Oregon,105.pdf
Sterling,1407,2017,Oregon,105.pdf
Super Galena,2096,2017,Oregon,105.pdf
Tettnanger,1013,2017,Oregon,105.pdf
Willamette,1324,2017,Oregon,105.pdf
Experimental,,2017,Oregon,105.pdf
Other Varieties,1573,2017,Oregon,105.pdf
Azacca ADHA-483,2463,2017,Washington,105.pdf
Ahtanum YCR 1,1052,2017,Washington,105.pdf
Amarillo VGXP01,1687,2017,Washington,105.pdf
Apollo,2729,2017,Washington,105.pdf
Bravo,2671,2017,Washington,105.pdf
Cascade,2124,2017,Washington,105.pdf
Centennial,1703,2017,Washington,105.pdf
Chinook,1784,2017,Washington,105.pdf
Citra HBC 394,1748,2017,Washington,105.pdf
Cluster,1937,2017,Washington,105.pdf
Columbus/Tomahawk,2646,2017,Washington,105.pdf
Comet,1855,2017,Washington,105.pdf
Crystal,2063,2017,Washington,105.pdf
Ekuanot HBC 366,2740,2017,Washington,105.pdf
El Dorado,1946,2017,Washington,105.pdf
Eureka!,2244,2017,Washington,105.pdf
Galena,2134,2017,Washington,105.pdf
Glacier,,2017,Washington,105.pdf
Golding,,2017,Washington,105.pdf
Jarrylo ADHA-881,,2017,Washington,105.pdf
Loral HBC 291,2295,2017,Washington,105.pdf
Magnum,,2017,Washington,105.pdf
Millennium,,2017,Washington,105.pdf
Mosaic HBC 369,2439,2017,Washington,105.pdf
Mt. Hood,1043,2017,Washington,105.pdf
Northern Brewer,,2017,Washington,105.pdf
Nugget,1950,2017,Washington,105.pdf
Palisade YCR 4,2209,2017,Washington,105.pdf
Ahtanum YCR 1,1792,2017,Washington,105.pdf
Summit,2067,2017,Washington,105.pdf
Super Galena,2647,2017,Washington,105.pdf
Tahoma,1752,2017,Washington,105.pdf
Tettnanger,1202,2017,Washington,105.pdf
Vanguard,,2017,Washington,105.pdf
Warrior YCR 5,,2017,Washington,105.pdf
Willamette,1446,2017,Washington,105.pdf
Zeus,3088,2017,Washington,105.pdf
Experimental,1901,2017,Washington,105.pdf
Other Varieties,1746,2017,Washington,105.pdf
Cascade,1616,2011,Oregon,11.pdf
Golding,,2011,Oregon,11.pdf
Liberty,1326,2011,Oregon,11.pdf
Magnum,1928,2011,Oregon,11.pdf
Millennium,,2011,Oregon,11.pdf
Mt. Hood,1890,2011,Oregon,11.pdf
Nugget,2317,2011,Oregon,11.pdf
Perle,1622,2011,Oregon,11.pdf
Sterling,1915,2011,Oregon,11.pdf
Super Galena,2263,2011,Oregon,11.pdf
Tettnanger,1634,2011,Oregon,11.pdf
Willamette,1716,2011,Oregon,11.pdf
Other,1511,2011,Oregon,11.pdf
Ahtanum YCR 1,,2011,Washington,11.pdf
Apollo,2758,2011,Washington,11.pdf
Bravo,2609,2011,Washington,11.pdf
Cascade,1955,2011,Washington,11.pdf
Centennial,1403,2011,Washington,11.pdf
Chelan,,2011,Washington,11.pdf
Chinook,1718,2011,Washington,11.pdf
Citra HBC 394,1812,2011,Washington,11.pdf
Cluster,2019,2011,Washington,11.pdf
Columbus/Tomahawk,2519,2011,Washington,11.pdf
Galena,1821,2011,Washington,11.pdf
Glacier,2182,2011,Washington,11.pdf
Golding,,2011,Washington,11.pdf
Hallertau,,2011,Washington,11.pdf
Millennium,2562,2011,Washington,11.pdf
Mt. Hood,838,2011,Washington,11.pdf
Northern Brewer,1698,2011,Washington,11.pdf
Nugget,1969,2011,Washington,11.pdf
Simcoe YCR 14,1779,2011,Washington,11.pdf
Summit,,2011,Washington,11.pdf
Super Galena,3041,2011,Washington,11.pdf
Vanguard,,2011,Washington,11.pdf
Willamette,1510,2011,Washington,11.pdf
Palisade YCR 4,2562,2011,Washington,11.pdf
Warrior YCR 5,2061,2011,Washington,11.pdf
Zeus,2572,2011,Washington,11.pdf
Other,,2011,Washington,11.pdf
Cascade,1680,2010,Oregon,12.pdf
Golding,,2010,Oregon,12.pdf
Millennium,,2010,Oregon,12.pdf
Mt. Hood,1640,2010,Oregon,12.pdf
Nugget,2119,2010,Oregon,12.pdf
Sterling,1644,2010,Oregon,12.pdf
Super Galena,,2010,Oregon,12.pdf
Willamette,1535,2010,Oregon,12.pdf
Other,1711,2010,Oregon,12.pdf
Ahtanum YCR 1,,2010,Washington,12.pdf
Apollo,2778,2010,Washington,12.pdf
Bravo,2566,2010,Washington,12.pdf
Cascade,1905,2010,Washington,12.pdf
Centennial,1791,2010,Washington,12.pdf
Chelan,,2010,Washington,12.pdf
Chinook,1963,2010,Washington,12.pdf
Citra HBC 394,1930,2010,Washington,12.pdf
Cluster,2060,2010,Washington,12.pdf
Columbus/Tomahawk,2350,2010,Washington,12.pdf
Galena,1810,2010,Washington,12.pdf
Glacier,1943,2010,Washington,12.pdf
Golding,,2010,Washington,12.pdf
Hallertau,,2010,Washington,12.pdf
Millennium,2185,2010,Washington,12.pdf
Mt. Hood,1211,2010,Washington,12.pdf
Northern Brewer,1270,2010,Washington,12.pdf
Nugget,1808,2010,Washington,12.pdf
Simcoe YCR 14,1698,2010,Washington,12.pdf
Sterling,,2010,Washington,12.pdf
Summit,,2010,Washington,12.pdf
Super Galena,2622,2010,Washington,12.pdf
Vanguard,,2010,Washington,12.pdf
Willamette,1350,2010,Washington,12.pdf
Palisade YCR 4,2431,2010,Washington,12.pdf
Warrior YCR 5,1778,2010,Washington,12.pdf
Zeus,2678,2010,Washington,12.pdf
Other,1968,2010,Washington,12.pdf
Cascade,1741,2009,Oregon,13.pdf
Glacier,,2009,Oregon,13.pdf
Golding,,2009,Oregon,13.pdf
Millennium,2552,2009,Oregon,13.pdf
Mt. Hood,1671,2009,Oregon,13.pdf
Nugget,2548,2009,Oregon,13.pdf
Sterling,1684,2009,Oregon,13.pdf
Super Galena,,2009,Oregon,13.pdf
Willamette,1561,2009,Oregon,13.pdf
Other,1601,2009,Oregon,13.pdf
Ahtanum YCR 1,,2009,Washington,13.pdf
Apollo,,2009,Washington,13.pdf
Bravo,,2009,Washington,13.pdf
Cascade,2120,2009,Washington,13.pdf
Centennial,1490,2009,Washington,13.pdf
Chelan,2680,2009,Washington,13.pdf
Chinook,1819,2009,Washington,13.pdf
Cluster,2370,2009,Washington,13.pdf
Columbus/Tomahawk,2790,2009,Washington,13.pdf
Galena,1852,2009,Washington,13.pdf
Glacier,2093,2009,Washington,13.pdf
Golding,826,2009,Washington,13.pdf
Hallertau,,2009,Washington,13.pdf
Millennium,2465,2009,Washington,13.pdf
Mt. Hood,1570,2009,Washington,13.pdf
Northern Brewer,753,2009,Washington,13.pdf
Nugget,2060,2009,Washington,13.pdf
Simcoe YCR 14,2137,2009,Washington,13.pdf
Sterling,,2009,Washington,13.pdf
Summit,,2009,Washington,13.pdf
Super Galena,3186,2009,Washington,13.pdf
Vanguard,,2009,Washington,13.pdf
Willamette,1455,2009,Washington,13.pdf
Palisade YCR 4,2756,2009,Washington,13.pdf
Warrior YCR 5,2110,2009,Washington,13.pdf
Zeus,3387,2009,Washington,13.pdf
Other,1567,2009,Washington,13.pdf
Cascade,1068,2008,Oregon,14.pdf
Glacier,,2008,Oregon,14.pdf
Golding,1307,2008,Oregon,14.pdf
Millennium,2179,2008,Oregon,14.pdf
Mt. Hood,1552,2008,Oregon,14.pdf
Nugget,1758,2008,Oregon,14.pdf
Perle,,2008,Oregon,14.pdf
Sterling,1667,2008,Oregon,14.pdf
Willamette,1539,2008,Oregon,14.pdf
Other,992,2008,Oregon,14.pdf
Ahtanum YCR 1,,2008,Washington,14.pdf
Apollo,,2008,Washington,14.pdf
Bravo,,2008,Washington,14.pdf
Cascade,1781,2008,Washington,14.pdf
Centennial,1452,2008,Washington,14.pdf
Chelan,2178,2008,Washington,14.pdf
Chinook,1775,2008,Washington,14.pdf
Cluster,2038,2008,Washington,14.pdf
Columbus/Tomahawk,2585,2008,Washington,14.pdf
Galena,1826,2008,Washington,14.pdf
Glacier,1795,2008,Washington,14.pdf
Golding,1385,2008,Washington,14.pdf
Hallertau,,2008,Washington,14.pdf
Millennium,2440,2008,Washington,14.pdf
Mt. Hood,1572,2008,Washington,14.pdf
Northern Brewer,,2008,Washington,14.pdf
Nugget,2068,2008,Washington,14.pdf
Perle,,2008,Washington,14.pdf
Simcoe YCR 14,1758,2008,Washington,14.pdf
Sterling,,2008,Washington,14.pdf
Summit,,2008,Washington,14.pdf
Super Galena,2104,2008,Washington,14.pdf
Vanguard,,2008,Washington,14.pdf
Willamette,1351,2008,Washington,14.pdf
Palisade YCR 4,2091,2008,Washington,14.pdf
Warrior YCR 5,1846,2008,Washington,14.pdf
Zeus,2618,2008,Washington,14.pdf
Other,,2008,Washington,14.pdf
Cascade,,2007,Oregon,15.pdf
Glacier,,2007,Oregon,15.pdf
Golding,1403,2007,Oregon,15.pdf
Millennium,2323,2007,Oregon,15.pdf
Mt. Hood,1640,2007,Oregon,15.pdf
Nugget,2231,2007,Oregon,15.pdf
Perle,,2007,Oregon,15.pdf
Sterling,1665,2007,Oregon,15.pdf
Willamette,1577,2007,Oregon,15.pdf
Other,1416,2007,Oregon,15.pdf
Ahtanum YCR 1,1964,2007,Washington,15.pdf
Cascade,2031,2007,Washington,15.pdf
Centennial,,2007,Washington,15.pdf
Chelan,2364,2007,Washington,15.pdf
Chinook,1818,2007,Washington,15.pdf
Cluster,2030,2007,Washington,15.pdf
Columbus/Tomahawk,2533,2007,Washington,15.pdf
Galena,1776,2007,Washington,15.pdf
Glacier,1619,2007,Washington,15.pdf
Golding,1500,2007,Washington,15.pdf
Hallertau,763,2007,Washington,15.pdf
Millennium,2350,2007,Washington,15.pdf
Mt. Hood,1316,2007,Washington,15.pdf
Northern Brewer,,2007,Washington,15.pdf
Nugget,1909,2007,Washington,15.pdf
Perle,,2007,Washington,15.pdf
Sterling,,2007,Washington,15.pdf
Summit,1822,2007,Washington,15.pdf
Vanguard,1470,2007,Washington,15.pdf
Willamette,1318,2007,Washington,15.pdf
Palisade YCR 4,2519,2007,Washington,15.pdf
Warrior YCR 5,1903,2007,Washington,15.pdf
Zeus,2839,2007,Washington,15.pdf
Other,1355,2007,Washington,15.pdf
Cascade,,2006,Oregon,16.pdf
Glacier,,2006,Oregon,16.pdf
Golding,1744,2006,Oregon,16.pdf
Millennium,2884,2006,Oregon,16.pdf
Mt. Hood,2200,2006,Oregon,16.pdf
Nugget,2303,2006,Oregon,16.pdf
Perle,,2006,Oregon,16.pdf
Sterling,2672,2006,Oregon,16.pdf
Willamette,1459,2006,Oregon,16.pdf
Other Varieties,882,2006,Oregon,16.pdf
Ahtanum YCR 1,2110,2006,Washington,16.pdf
Cascade,1954,2006,Washington,16.pdf
Centennial,,2006,Washington,16.pdf
Chelan,2187,2006,Washington,16.pdf
Chinook,1871,2006,Washington,16.pdf
Cluster,2184,2006,Washington,16.pdf
Columbus/Tomahawk,2660,2006,Washington,16.pdf
Galena,1820,2006,Washington,16.pdf
Glacier,1441,2006,Washington,16.pdf
Golding,992,2006,Washington,16.pdf
Hallertau,812,2006,Washington,16.pdf
Millennium,2324,2006,Washington,16.pdf
Mt. Hood,1109,2006,Washington,16.pdf
Northern Brewer,,2006,Washington,16.pdf
Nugget,1841,2006,Washington,16.pdf
Perle,,2006,Washington,16.pdf
Sterling,1419,2006,Washington,16.pdf
Summit,1864,2006,Washington,16.pdf
Willamette,1222,2006,Washington,16.pdf
Palisade YCR 4,2998,2006,Washington,16.pdf
Warrior YCR 5,2159,2006,Washington,16.pdf
Zeus,2962,2006,Washington,16.pdf
Other,1775,2006,Washington,16.pdf
Apollo,1951,2018,Idaho,168.pdf
Bravo,2226,2018,Idaho,168.pdf
Calypso,2138,2018,Idaho,168.pdf
Cascade,1716,2018,Idaho,168.pdf
Centennial,,2018,Idaho,168.pdf
Chinook,1873,2018,Idaho,168.pdf
Citra HBC 394,1415,2018,Idaho,168.pdf
Cluster,2126,2018,Idaho,168.pdf
Crystal,1927,2018,Idaho,168.pdf
El Dorado,1463,2018,Idaho,168.pdf
Eureka!,2299,2018,Idaho,168.pdf
Galena,1715,2018,Idaho,168.pdf
Mosaic HBC 369,2333,2018,Idaho,168.pdf
Ahtanum YCR 1,1245,2018,Idaho,168.pdf
Super Galena,2493,2018,Idaho,168.pdf
Willamette,,2018,Idaho,168.pdf
Zeus,2764,2018,Idaho,168.pdf
Experimental,,2018,Idaho,168.pdf
Other Varieties,1845,2018,Idaho,168.pdf
Cascade,1623,2018,Oregon,168.pdf
Centennial,1277,2018,Oregon,168.pdf
Chinook,1674,2018,Oregon,168.pdf
Citra HBC 394,1600,2018,Oregon,168.pdf
Crystal,1819,2018,Oregon,168.pdf
Fuggle,1034,2018,Oregon,168.pdf
Golding,1160,2018,Oregon,168.pdf
Liberty,,2018,Oregon,168.pdf
Magnum,1284,2018,Oregon,168.pdf
Mosaic HBC 369,,2018,Oregon,168.pdf
Mt. Hood,1411,2018,Oregon,168.pdf
Nugget,1946,2018,Oregon,168.pdf
Perle,1093,2018,Oregon,168.pdf
Ahtanum YCR 1,1588,2018,Oregon,168.pdf
Sterling,1760,2018,Oregon,168.pdf
Super Galena,2216,2018,Oregon,168.pdf
Tettnanger,1027,2018,Oregon,168.pdf
Willamette,1484,2018,Oregon,168.pdf
Other Varieties,2068,2018,Oregon,168.pdf
Ahtanum YCR 1,2730,2018,Washington,168.pdf
Amarillo VGXP01,1868,2018,Washington,168.pdf
Apollo,2848,2018,Washington,168.pdf
Azacca ADHA-483,2491,2018,Washington,168.pdf
Bravo,2671,2018,Washington,168.pdf
Cascade,1972,2018,Washington,168.pdf
Cashmere,1519,2018,Washington,168.pdf
Centennial,1364,2018,Washington,168.pdf
Chinook,1875,2018,Washington,168.pdf
Citra HBC 394,1611,2018,Washington,168.pdf
Cluster,1813,2018,Washington,168.pdf
Columbus/Tomahawk,2482,2018,Washington,168.pdf
Comet,1750,2018,Washington,168.pdf
Crystal,2357,2018,Washington,168.pdf
Ekuanot HBC 366,2583,2018,Washington,168.pdf
El Dorado,1880,2018,Washington,168.pdf
Eureka!,2954,2018,Washington,168.pdf
Galena,2149,2018,Washington,168.pdf
Glacier,,2018,Washington,168.pdf
Golding,,2018,Washington,168.pdf
Jarrylo ADHA-881,,2018,Washington,168.pdf
Loral HBC 291,2349,2018,Washington,168.pdf
Magnum,,2018,Washington,168.pdf
Millennium,,2018,Washington,168.pdf
Mosaic HBC 369,2351,2018,Washington,168.pdf
Mt. Hood,1454,2018,Washington,168.pdf
Mt. Rainier,1899,2018,Washington,168.pdf
Northern Brewer,,2018,Washington,168.pdf
Nugget,1498,2018,Washington,168.pdf
Pahto HBC 682,2087,2018,Washington,168.pdf
Palisade YCR 4,2441,2018,Washington,168.pdf
Pekko ADHA-871,1889,2018,Washington,168.pdf
Ahtanum YCR 1,1642,2018,Washington,168.pdf
Sorachi Ace,1042,2018,Washington,168.pdf
Summit,1826,2018,Washington,168.pdf
Super Galena,3133,2018,Washington,168.pdf
Tahoma,2147,2018,Washington,168.pdf
Tettnanger,,2018,Washington,168.pdf
Vanguard,,2018,Washington,168.pdf
Warrior YCR 5,,2018,Washington,168.pdf
Willamette,1348,2018,Washington,168.pdf
Zeus,2619,2018,Washington,168.pdf
Experimental,1889,2018,Washington,168.pdf
Other Varieties,1896,2018,Washington,168.pdf
Cluster,,2005,Idaho,17.pdf
Galena,,2005,Idaho,17.pdf
