Variety,Yield,Year,State
ALL CLASSES,1484,2000,Idaho
ALL CLASSES,1785,2000,Oregon
ALL CLASSES,1871,2000,Us Total
ALL CLASSES,1937,2000,Washington
ALL CLASSES,1329,2001,Idaho
ALL CLASSES,1875,2001,Oregon
ALL CLASSES,1861,2001,Us Total
ALL CLASSES,1928,2001,Washington
ALL CLASSES,1624,2002,Idaho
ALL CLASSES,1692,2002,Oregon
ALL CLASSES,1990,2002,Us Total
ALL CLASSES,2133,2002,Washington
ALL CLASSES,1536,2003,Idaho
ALL CLASSES,1626,2003,Oregon
ALL CLASSES,1903,2003,Us Total
ALL CLASSES,2050,2003,Washington
ALL CLASSES,1588,2004,Idaho
ALL CLASSES,1686,2004,Oregon
ALL CLASSES,1990,2004,Us Total
ALL CLASSES,2137,2004,Washington
ALL CLASSES,1640,2005,Idaho
ALL CLASSES,1560,2005,Oregon
ALL CLASSES,1796,2005,Us Total
ALL CLASSES,1878,2005,Washington
ALL CLASSES,1613,2006,Idaho
ALL CLASSES,1757,2006,Oregon
ALL CLASSES,1964,2006,Us Total
ALL CLASSES,2058,2006,Washington
ALL CLASSES,1417,2007,Idaho
ALL CLASSES,1811,2007,Oregon
ALL CLASSES,1949,2007,Us Total
ALL CLASSES,2049,2007,Washington
ALL CLASSES,1841,2008,Idaho
ALL CLASSES,1569,2008,Oregon
ALL CLASSES,1971,2008,Us Total
ALL CLASSES,2072,2008,Washington
ALL CLASSES,1943,2009,Idaho
ALL CLASSES,1948,2009,Oregon
ALL CLASSES,2383,2009,Us Total
ALL CLASSES,2533,2009,Washington
ALL CLASSES,2129,2010,Idaho
ALL CLASSES,1791,2010,Oregon
ALL CLASSES,2093,2010,Us Total
ALL CLASSES,2147,2010,Washington
ALL CLASSES,2408,2011,Idaho
ALL CLASSES,1908,2011,Oregon
ALL CLASSES,2175,2011,Us Total
ALL CLASSES,2200,2011,Washington
ALL CLASSES,1841,2012,Idaho
ALL CLASSES,1746,2012,Oregon
ALL CLASSES,1985,2012,Us Total
ALL CLASSES,2047,2012,Washington
ALL CLASSES,1740,2013,Idaho
APOLLO,2230,2013,Idaho
BRAVO,2430,2013,Idaho
CASCADE,1224,2013,Idaho
CENTENNIAL,1004,2013,Idaho
CHINOOK,1801,2013,Idaho
CITRA HBC 394,1011,2013,Idaho
EL DORADO,971,2013,Idaho
EXPERIMENTAL,2800,2013,Idaho
OTHER VARIETIES,1063,2013,Idaho
SUPER GALENA,2201,2013,Idaho
ZEUS,3049,2013,Idaho
ALL CLASSES,1764,2013,Oregon
CASCADE,1483,2013,Oregon
CENTENNIAL,1585,2013,Oregon
EXPERIMENTAL,1734,2013,Oregon
FUGGLE,827,2013,Oregon
GOLDING,1148,2013,Oregon
HALLERTAUER MAGNUM,1406,2013,Oregon
MT. HOOD,1567,2013,Oregon
NUGGET,2053,2013,Oregon
OTHER VARIETIES,1931,2013,Oregon
PERLE,1178,2013,Oregon
STERLING,1621,2013,Oregon
SUPER GALENA,1852,2013,Oregon
WILLAMETTE,1491,2013,Oregon
ALL CLASSES,1962,2013,Us Total
AHTANUM YCR 1,1647,2013,Washington
ALL CLASSES,2025,2013,Washington
APOLLO,2926,2013,Washington
BRAVO,2860,2013,Washington
C/T/Z,2571,2013,Washington
CASCADE,1723,2013,Washington
CENTENNIAL,1554,2013,Washington
CHINOOK,1987,2013,Washington
CITRA HBC 394,1405,2013,Washington
CLUSTER,1948,2013,Washington
CRYSTAL,1286,2013,Washington
EL DORADO,1761,2013,Washington
EXPERIMENTAL,1562,2013,Washington
FUGGLE,,2013,Washington
GALENA,1969,2013,Washington
GLACIER,1258,2013,Washington
GOLDING,1010,2013,Washington
HALLERTAUER MAGNUM,,2013,Washington
HALLERTAUER MITTELFRUHER,,2013,Washington
LIBERTY,,2013,Washington
MILLENNIUM,2266,2013,Washington
MOSAIC HBC 369,1709,2013,Washington
MT. HOOD,1161,2013,Washington
NORTHERN BREWER,1256,2013,Washington
NUGGET,1931,2013,Washington
OTHER VARIETIES,1697,2013,Washington
PALISADE YCR 4,2790,2013,Washington
SIMCOE YCR 14,1682,2013,Washington
STERLING,,2013,Washington
SUMMIT,1873,2013,Washington
SUPER GALENA,2816,2013,Washington
TETTNANGER,755,2013,Washington
VANGUARD,1349,2013,Washington
WARRIOR YCR 5,2169,2013,Washington
WILLAMETTE,1240,2013,Washington
ZEUS,2940,2013,Washington
ALL CLASSES,1847,2014,Idaho
APOLLO,2004,2014,Idaho
BRAVO,2579,2014,Idaho
CASCADE,1746,2014,Idaho
CENTENNIAL,754,2014,Idaho
CHINOOK,1673,2014,Idaho
CITRA HBC 394,1200,2014,Idaho
CRYSTAL,2186,2014,Idaho
EL DORADO,1144,2014,Idaho
EXPERIMENTAL,1366,2014,Idaho
OTHER VARIETIES,1354,2014,Idaho
SIMCOE YCR 14,969,2014,Idaho
SUPER GALENA,2165,2014,Idaho
ZEUS,2891,2014,Idaho
ALL CLASSES,1520,2014,Oregon
CASCADE,1402,2014,Oregon
CENTENNIAL,1095,2014,Oregon
GOLDING,955,2014,Oregon
HALLERTAUER MAGNUM,1077,2014,Oregon
MT. HOOD,1450,2014,Oregon
NUGGET,1978,2014,Oregon
OTHER VARIETIES,1426,2014,Oregon
PERLE,1057,2014,Oregon
STERLING,1423,2014,Oregon
SUPER GALENA,2309,2014,Oregon
WILLAMETTE,1453,2014,Oregon
ALL CLASSES,1868,2014,Us Total
AHTANUM YCR 1,1680,2014,Washington
ALL CLASSES,1936,2014,Washington
APOLLO,2649,2014,Washington
AZACCA ADHA-483,1704,2014,Washington
BRAVO,2768,2014,Washington
C/T/Z,2629,2014,Washington
CASCADE,1824,2014,Washington
CENTENNIAL,1347,2014,Washington
CHINOOK,1815,2014,Washington
CITRA HBC 394,1570,2014,Washington
CLUSTER,1825,2014,Washington
CRYSTAL,1366,2014,Washington
EL DORADO,2206,2014,Washington
EXPERIMENTAL,1625,2014,Washington
GALENA,1801,2014,Washington
GLACIER,1202,2014,Washington
GOLDING,772,2014,Washington
HALLERTAUER MITTELFRUHER,,2014,Washington
JARRYLO ADHA-881,1548,2014,Washington
MILLENNIUM,1996,2014,Washington
MOSAIC HBC 369,2225,2014,Washington
MT. HOOD,1333,2014,Washington
NORTHERN BREWER,1244,2014,Washington
NUGGET,1583,2014,Washington
OTHER VARIETIES,1418,2014,Washington
PALISADE YCR 4,2469,2014,Washington
SIMCOE YCR 14,1542,2014,Washington
SUMMIT,2105,2014,Washington
SUPER GALENA,2562,2014,Washington
VANGUARD,1455,2014,Washington
WARRIOR YCR 5,1821,2014,Washington
WILLAMETTE,1130,2014,Washington
ZEUS,2811,2014,Washington
ALL CLASSES,1794,2015,Idaho
APOLLO,2062,2015,Idaho
BRAVO,2625,2015,Idaho
CALYPSO,1710,2015,Idaho
CASCADE,1633,2015,Idaho
CHINOOK,1850,2015,Idaho
CITRA HBC 394,1271,2015,Idaho
EL DORADO,1125,2015,Idaho
EXPERIMENTAL,1269,2015,Idaho
MOSAIC HBC 369,2278,2015,Idaho
OTHER VARIETIES,1348,2015,Idaho
SIMCOE YCR 14,1576,2015,Idaho
SUPER GALENA,2189,2015,Idaho
ZEUS,2909,2015,Idaho
ALL CLASSES,1613,2015,Oregon
CASCADE,1994,2015,Oregon
CENTENNIAL,1352,2015,Oregon
CHINOOK,1860,2015,Oregon
CITRA HBC 394,980,2015,Oregon
CRYSTAL,2011,2015,Oregon
FUGGLE,1066,2015,Oregon
GOLDING,837,2015,Oregon
HALLERTAUER MAGNUM,1572,2015,Oregon
LIBERTY,1360,2015,Oregon
MT. HOOD,1276,2015,Oregon
NUGGET,1888,2015,Oregon
OTHER VARIETIES,1609,2015,Oregon
SIMCOE YCR 14,1678,2015,Oregon
STERLING,1344,2015,Oregon
SUPER GALENA,2340,2015,Oregon
TETTNANGER,1242,2015,Oregon
WILLAMETTE,1226,2015,Oregon
ALL CLASSES,1807,2015,Us Total
AHTANUM YCR 1,1557,2015,Washington
ALL CLASSES,1849,2015,Washington
APOLLO,2738,2015,Washington
AZACCA ADHA-483,1872,2015,Washington
BRAVO,2824,2015,Washington
C/T/Z,2524,2015,Washington
CASCADE,1936,2015,Washington
CENTENNIAL,1145,2015,Washington
CHINOOK,1793,2015,Washington
CITRA HBC 394,1541,2015,Washington
CLUSTER,1705,2015,Washington
COMET,1780,2015,Washington
CRYSTAL,1183,2015,Washington
EL DORADO,2154,2015,Washington
EXPERIMENTAL,1546,2015,Washington
GALENA,1968,2015,Washington
GLACIER,996,2015,Washington
GOLDING,854,2015,Washington
HALLERTAUER MAGNUM,1255,2015,Washington
HALLERTAUER MITTELFRUHER,,2015,Washington
JARRYLO ADHA-881,1541,2015,Washington
MOSAIC HBC 369,2036,2015,Washington
MT. HOOD,1069,2015,Washington
NORTHERN BREWER,991,2015,Washington
NUGGET,1927,2015,Washington
OTHER VARIETIES,1603,2015,Washington
PALISADE YCR 4,1950,2015,Washington
SIMCOE YCR 14,1540,2015,Washington
SUMMIT,1969,2015,Washington
SUPER GALENA,2729,2015,Washington
VANGUARD,1223,2015,Washington
WILLAMETTE,1007,2015,Washington
ZEUS,2819,2015,Washington
ALL CLASSES,1646,2016,Idaho
AMARILLO VGXP01,,2016,Idaho
APOLLO,1893,2016,Idaho
BRAVO,2359,2016,Idaho
CALYPSO,1937,2016,Idaho
CASCADE,1585,2016,Idaho
CENTENNIAL,,2016,Idaho
CHINOOK,1712,2016,Idaho
CITRA HBC 394,1213,2016,Idaho
CRYSTAL,1678,2016,Idaho
EL DORADO,1658,2016,Idaho
EXPERIMENTAL,1000,2016,Idaho
MOSAIC HBC 369,2204,2016,Idaho
OTHER VARIETIES,1174,2016,Idaho
SIMCOE YCR 14,1335,2016,Idaho
SUPER GALENA,1872,2016,Idaho
WILLAMETTE,,2016,Idaho
ZEUS,2761,2016,Idaho
ALL CLASSES,1596,2016,Oregon
CASCADE,1597,2016,Oregon
CENTENNIAL,1235,2016,Oregon
CHINOOK,1675,2016,Oregon
CITRA HBC 394,1047,2016,Oregon
CRYSTAL,2216,2016,Oregon
FUGGLE,1021,2016,Oregon
GOLDING,,2016,Oregon
HALLERTAUER MAGNUM,1493,2016,Oregon
MOSAIC HBC 369,,2016,Oregon
MT. HOOD,1463,2016,Oregon
NUGGET,1925,2016,Oregon
OTHER VARIETIES,1546,2016,Oregon
PERLE,,2016,Oregon
SIMCOE YCR 14,1969,2016,Oregon
STERLING,1626,2016,Oregon
SUPER GALENA,,2016,Oregon
TETTNANGER,1193,2016,Oregon
WILLAMETTE,1573,2016,Oregon
ALL CLASSES,1713,2016,Us Total
AHTANUM YCR 1,1012,2016,Washington
ALL CLASSES,1748,2016,Washington
AMARILLO VGXP01,,2016,Washington
APOLLO,2225,2016,Washington
AZACCA ADHA-483,1870,2016,Washington
BRAVO,2671,2016,Washington
C/T/Z,1969,2016,Washington
CASCADE,1727,2016,Washington
CENTENNIAL,1355,2016,Washington
CHINOOK,1420,2016,Washington
CITRA HBC 394,1543,2016,Washington
CLUSTER,1700,2016,Washington
COMET,949,2016,Washington
CRYSTAL,1475,2016,Washington
EKUANOT HBC 366,,2016,Washington
EL DORADO,1904,2016,Washington
EUREKA!,,2016,Washington
EXPERIMENTAL,1592,2016,Washington
GALENA,1692,2016,Washington
GLACIER,1168,2016,Washington
GOLDING,,2016,Washington
HALLERTAUER MAGNUM,,2016,Washington
JARRYLO ADHA-881,1408,2016,Washington
MOSAIC HBC 369,2326,2016,Washington
MT. HOOD,1075,2016,Washington
NORTHERN BREWER,,2016,Washington
NUGGET,1774,2016,Washington
OTHER VARIETIES,1662,2016,Washington
PALISADE YCR 4,2228,2016,Washington
SIMCOE YCR 14,1673,2016,Washington
SUMMIT,1648,2016,Washington
SUPER GALENA,2501,2016,Washington
TAHOMA,,2016,Washington
TETTNANGER,,2016,Washington
WILLAMETTE,1277,2016,Washington
ZEUS,2469,2016,Washington
ALL CLASSES,1974,2017,Idaho
AMARILLO VGXP01,1569,2017,Idaho
APOLLO,1798,2017,Idaho
BRAVO,2799,2017,Idaho
CALYPSO,2159,2017,Idaho
CASCADE,1771,2017,Idaho
CENTENNIAL,2028,2017,Idaho
CHINOOK,1665,2017,Idaho
CITRA HBC 394,1657,2017,Idaho
CLUSTER,,2017,Idaho
COMET,,2017,Idaho
CRYSTAL,2084,2017,Idaho
EL DORADO,2163,2017,Idaho
EXPERIMENTAL,611,2017,Idaho
MOSAIC HBC 369,2581,2017,Idaho
OTHER VARIETIES,1959,2017,Idaho
SIMCOE YCR 14,1494,2017,Idaho
SUPER GALENA,,2017,Idaho
WILLAMETTE,1689,2017,Idaho
ZEUS,2756,2017,Idaho
ALL CLASSES,1518,2017,Oregon
CASCADE,1425,2017,Oregon
CENTENNIAL,1273,2017,Oregon
CHINOOK,1667,2017,Oregon
CITRA HBC 394,1475,2017,Oregon
CRYSTAL,1772,2017,Oregon
EXPERIMENTAL,,2017,Oregon
FUGGLE,1251,2017,Oregon
GOLDING,1181,2017,Oregon
HALLERTAUER MAGNUM,1714,2017,Oregon
LIBERTY,,2017,Oregon
MOSAIC HBC 369,1875,2017,Oregon
MT. HOOD,1439,2017,Oregon
NUGGET,1820,2017,Oregon
OTHER VARIETIES,1573,2017,Oregon
PERLE,1164,2017,Oregon
SIMCOE YCR 14,1421,2017,Oregon
STERLING,1407,2017,Oregon
SUPER GALENA,2096,2017,Oregon
TETTNANGER,1013,2017,Oregon
WILLAMETTE,1324,2017,Oregon
ALL CLASSES,1956,2017,Us Total
AHTANUM YCR 1,1052,2017,Washington
ALL CLASSES,2046,2017,Washington
AMARILLO VGXP01,1687,2017,Washington
APOLLO,2729,2017,Washington
AZACCA ADHA-483,2463,2017,Washington
BRAVO,2973,2017,Washington
C/T/Z,2646,2017,Washington
CASCADE,2124,2017,Washington
CENTENNIAL,1703,2017,Washington
CHINOOK,1784,2017,Washington
CITRA HBC 394,1748,2017,Washington
CLUSTER,1937,2017,Washington
COMET,1855,2017,Washington
CRYSTAL,2063,2017,Washington
EKUANOT HBC 366,2740,2017,Washington
EL DORADO,1946,2017,Washington
EUREKA!,2244,2017,Washington
EXPERIMENTAL,1901,2017,Washington
GALENA,2134,2017,Washington
GLACIER,,2017,Washington
GOLDING,,2017,Washington
HALLERTAUER MAGNUM,,2017,Washington
JARRYLO ADHA-881,,2017,Washington
LORAL HBC 291,2295,2017,Washington
MOSAIC HBC 369,2439,2017,Washington
MT. HOOD,1043,2017,Washington
NORTHERN BREWER,,2017,Washington
NUGGET,1950,2017,Washington
OTHER VARIETIES,1746,2017,Washington
PALISADE YCR 4,2209,2017,Washington
SIMCOE YCR 14,1792,2017,Washington
SUMMIT,2067,2017,Washington
SUPER GALENA,2647,2017,Washington
TAHOMA,1752,2017,Washington
TETTNANGER,1202,2017,Washington
VANGUARD,,2017,Washington
WILLAMETTE,1446,2017,Washington
ZEUS,3088,2017,Washington
ALL CLASSES,1995,2018,Idaho
AMARILLO VGXP01,2009,2018,Idaho
APOLLO,1951,2018,Idaho
BRAVO,2226,2018,Idaho
CALYPSO,2138,2018,Idaho
CASCADE,1716,2018,Idaho
CENTENNIAL,,2018,Idaho
CHINOOK,1873,2018,Idaho
CITRA HBC 394,1438,2018,Idaho
CLUSTER,2126,2018,Idaho
COMET,,2018,Idaho
CRYSTAL,1927,2018,Idaho
EL DORADO,1463,2018,Idaho
EUREKA!,2299,2018,Idaho
EXPERIMENTAL,,2018,Idaho
GALENA,1715,2018,Idaho
MOSAIC HBC 369,2333,2018,Idaho
OTHER VARIETIES,1845,2018,Idaho
SIMCOE YCR 14,1245,2018,Idaho
SUPER GALENA,2493,2018,Idaho
WILLAMETTE,,2018,Idaho
ZEUS,2764,2018,Idaho
ALL CLASSES,1675,2018,Oregon
CASCADE,1623,2018,Oregon
CENTENNIAL,1277,2018,Oregon
CHINOOK,1674,2018,Oregon
CITRA HBC 394,1600,2018,Oregon
CRYSTAL,1819,2018,Oregon
EXPERIMENTAL,,2018,Oregon
FUGGLE,1034,2018,Oregon
GOLDING,1160,2018,Oregon
HALLERTAUER MAGNUM,1284,2018,Oregon
MOSAIC HBC 369,,2018,Oregon
MT. HOOD,1411,2018,Oregon
NUGGET,1946,2018,Oregon
OTHER VARIETIES,2068,2018,Oregon
PERLE,1093,2018,Oregon
SIMCOE YCR 14,1588,2018,Oregon
STERLING,1760,2018,Oregon
SUPER GALENA,2216,2018,Oregon
TETTNANGER,1027,2018,Oregon
WILLAMETTE,1489,2018,Oregon
ALL CLASSES,1943,2018,Us Total
AHTANUM YCR 1,2730,2018,Washington
ALL CLASSES,1984,2018,Washington
AMARILLO VGXP01,1868,2018,Washington
APOLLO,2848,2018,Washington
AZACCA ADHA-483,2491,2018,Washington
BRAVO,3258,2018,Washington
C/T/Z,2482,2018,Washington
CASCADE,1972,2018,Washington
CASHMERE,1519,2018,Washington
CENTENNIAL,1364,2018,Washington
CHINOOK,1875,2018,Washington
CITRA HBC 394,1611,2018,Washington
CLUSTER,1813,2018,Washington
COMET,1750,2018,Washington
CRYSTAL,2357,2018,Washington
EKUANOT HBC 366,2583,2018,Washington
EL DORADO,1880,2018,Washington
EUREKA!,2954,2018,Washington
EXPERIMENTAL,1889,2018,Washington
GALENA,2149,2018,Washington
PAHTO HBC 682,2087,2018,Washington
JARRYLO ADHA-881,,2018,Washington
LORAL HBC 291,2349,2018,Washington
MOSAIC HBC 369,2351,2018,Washington
MT. HOOD,1454,2018,Washington
MT. RAINIER,1899,2018,Washington
NUGGET,1498,2018,Washington
OTHER VARIETIES,1896,2018,Washington
PALISADE YCR 4,2441,2018,Washington
PEKKO ADHA-871,1889,2018,Washington
SIMCOE YCR 14,1642,2018,Washington
SORACHI ACE,1042,2018,Washington
SUMMIT,1826,2018,Washington
SUPER GALENA,3133,2018,Washington
TAHOMA,2147,2018,Washington
WILLAMETTE,1348,2018,Washington
ZEUS,2619,2018,Washington
ALL CLASSES,2034,2019,Idaho
AMARILLO VGXP01,1560,2019,Idaho
APOLLO,,2019,Idaho
BRAVO,,2019,Idaho
C/T/Z,3002,2019,Idaho
CALYPSO,1901,2019,Idaho
CASCADE,1823,2019,Idaho
CASHMERE,,2019,Idaho
CENTENNIAL,,2019,Idaho
CHINOOK,2215,2019,Idaho
CITRA HBC 394,1532,2019,Idaho
CLUSTER,,2019,Idaho
COMET,1970,2019,Idaho
CRYSTAL,1971,2019,Idaho
EKUANOT HBC 366,,2019,Idaho
EL DORADO,1352,2019,Idaho
EUREKA!,2243,2019,Idaho
EXPERIMENTAL,,2019,Idaho
GALENA,1773,2019,Idaho
HALLERTAUER MAGNUM,,2019,Idaho
HALLERTAUER MITTELFRUHER,1253,2019,Idaho
PAHTO HBC 682,,2019,Idaho
IDAHO 7,2562,2019,Idaho
MOSAIC HBC 369,2296,2019,Idaho
NORTHERN BREWER,1407,2019,Idaho
OTHER VARIETIES,1971,2019,Idaho
PALISADE YCR 4,,2019,Idaho
SAAZ,771,2019,Idaho
SABRO HBC 438,,2019,Idaho
SIMCOE YCR 14,1164,2019,Idaho
SUPER GALENA,,2019,Idaho
WARRIOR YCR 5,,2019,Idaho
WILLAMETTE,1695,2019,Idaho
ZEUS,2672,2019,Idaho
ALL CLASSES,1783,2019,Oregon
AMARILLO VGXP01,2312,2019,Oregon
BULLION,,2019,Oregon
CASCADE,1620,2019,Oregon
CENTENNIAL,1661,2019,Oregon
CHINOOK,1733,2019,Oregon
CITRA HBC 394,1476,2019,Oregon
COMET,,2019,Oregon
CRYSTAL,1943,2019,Oregon
DELTA,,2019,Oregon
EKUANOT HBC 366,,2019,Oregon
EL DORADO,,2019,Oregon
EXPERIMENTAL,,2019,Oregon
FUGGLE,1243,2019,Oregon
GOLDING,1351,2019,Oregon
HALLERTAUER MAGNUM,,2019,Oregon
HALLERTAUER MITTELFRUHER,,2019,Oregon
LIBERTY,,2019,Oregon
MERIDIAN,,2019,Oregon
MILLENNIUM,,2019,Oregon
MOSAIC HBC 369,2113,2019,Oregon
MT. HOOD,1538,2019,Oregon
MT. RAINIER,,2019,Oregon
NORTHERN BREWER,,2019,Oregon
NUGGET,2130,2019,Oregon
OTHER VARIETIES,1644,2019,Oregon
PEKKO ADHA-871,,2019,Oregon
PERLE,,2019,Oregon
SIMCOE YCR 14,1845,2019,Oregon
SORACHI ACE,,2019,Oregon
STERLING,1643,2019,Oregon
STRATA OR 91331,2066,2019,Oregon
SUPER GALENA,2580,2019,Oregon
TETTNANGER,,2019,Oregon
WILLAMETTE,1717,2019,Oregon
ALL CLASSES,1981,2019,Us Total
AHTANUM YCR 1,2820,2019,Washington
ALL CLASSES,2006,2019,Washington
AMARILLO VGXP01,1946,2019,Washington
APOLLO,2735,2019,Washington
AZACCA ADHA-483,2441,2019,Washington
BITTER GOLD,,2019,Washington
BRAVO,3216,2019,Washington
C/T/Z,2584,2019,Washington
CALYPSO,,2019,Washington
CASCADE,1920,2019,Washington
CASHMERE,1699,2019,Washington
CENTENNIAL,1820,2019,Washington
CHINOOK,1942,2019,Washington
CITRA HBC 394,1424,2019,Washington
CLUSTER,1815,2019,Washington
COMET,1311,2019,Washington
CRYSTAL,1989,2019,Washington
DELTA,,2019,Washington
EKUANOT HBC 366,2483,2019,Washington
EL DORADO,2032,2019,Washington
EUREKA!,3188,2019,Washington
EXPERIMENTAL,2251,2019,Washington
FUGGLE,,2019,Washington
GALENA,2045,2019,Washington
GLACIER,,2019,Washington
GOLDING,,2019,Washington
HALLERTAUER MAGNUM,,2019,Washington
PAHTO HBC 682,2398,2019,Washington
HORIZON,,2019,Washington
IDAHO 7,1544,2019,Washington
JARRYLO ADHA-881,,2019,Washington
LEMONDROP,,2019,Washington
LORAL HBC 291,2515,2019,Washington
MILLENNIUM,,2019,Washington
MOSAIC HBC 369,2054,2019,Washington
MT. HOOD,1037,2019,Washington
MT. RAINIER,2149,2019,Washington
NORTHERN BREWER,,2019,Washington
NUGGET,2313,2019,Washington
OTHER VARIETIES,1888,2019,Washington
PALISADE YCR 4,2520,2019,Washington
PEKKO ADHA-871,,2019,Washington
SABRO HBC 438,1612,2019,Washington
SIMCOE YCR 14,1788,2019,Washington
SORACHI ACE,,2019,Washington
STERLING,,2019,Washington
STRATA OR 91331,,2019,Washington
SUMMIT,1816,2019,Washington
SUPER GALENA,2871,2019,Washington
TAHOMA,1958,2019,Washington
TETTNANGER,,2019,Washington
VANGUARD,,2019,Washington
WARRIOR YCR 5,,2019,Washington
WILLAMETTE,1596,2019,Washington
ZEUS,2620,2019,Washington
ALL CLASSES,1855,2020,Idaho
AMARILLO VGXP01,1576,2020,Idaho
APOLLO,,2020,Idaho
BRAVO,,2020,Idaho
C/T/Z,2673,2020,Idaho
CALYPSO,,2020,Idaho
CASCADE,1213,2020,Idaho
CASHMERE,1578,2020,Idaho
CENTENNIAL,,2020,Idaho
CHINOOK,1614,2020,Idaho
CITRA HBC 394,1686,2020,Idaho
CLUSTER,,2020,Idaho
