Variety,Yield,Year,State
COMET,1740,2020,Idaho
CRYSTAL,,2020,Idaho
EKUANOT HBC 366,,2020,Idaho
EL DORADO,1590,2020,Idaho
EUREKA!,,2020,Idaho
GALENA,,2020,Idaho
HALLERTAUER MAGNUM,,2020,Idaho
HALLERTAUER MITTELFRUHER,614,2020,Idaho
PAHTO HBC 682,,2020,Idaho
IDAHO 7,2442,2020,Idaho
MOSAIC HBC 369,2335,2020,Idaho
MT. RAINIER,,2020,Idaho
NORTHERN BREWER,1432,2020,Idaho
OTHER VARIETIES,1567,2020,Idaho
PALISADE YCR 4,,2020,Idaho
SAAZ,,2020,Idaho
SABRO HBC 438,,2020,Idaho
SIMCOE YCR 14,992,2020,Idaho
SUPER GALENA,,2020,Idaho
TRIUMPH,365,2020,Idaho
WARRIOR YCR 5,,2020,Idaho
WILLAMETTE,,2020,Idaho
ALL CLASSES,1755,2020,Oregon
AMARILLO VGXP01,2360,2020,Oregon
CASCADE,1639,2020,Oregon
CENTENNIAL,1675,2020,Oregon
CHINOOK,1481,2020,Oregon
CITRA HBC 394,1506,2020,Oregon
COMET,,2020,Oregon
DELTA,,2020,Oregon
EL DORADO,,2020,Oregon
EXPERIMENTAL,,2020,Oregon
FUGGLE,,2020,Oregon
GOLDING,,2020,Oregon
HALLERTAUER MAGNUM,,2020,Oregon
HALLERTAUER MITTELFRUHER,,2020,Oregon
IDAHO 7,,2020,Oregon
LIBERTY,2289,2020,Oregon
MERIDIAN,,2020,Oregon
MILLENNIUM,,2020,Oregon
MOSAIC HBC 369,2155,2020,Oregon
MT. HOOD,1551,2020,Oregon
MT. RAINIER,,2020,Oregon
NUGGET,1841,2020,Oregon
OTHER VARIETIES,1479,2020,Oregon
PEKKO ADHA-871,,2020,Oregon
PERLE,,2020,Oregon
SABRO HBC 438,870,2020,Oregon
SIMCOE YCR 14,1823,2020,Oregon
SORACHI ACE,,2020,Oregon
STERLING,1728,2020,Oregon
STRATA OR 91331,2068,2020,Oregon
SUPER GALENA,2801,2020,Oregon
TAHOMA,,2020,Oregon
TETTNANGER,,2020,Oregon
TRIUMPH,,2020,Oregon
WILLAMETTE,1857,2020,Oregon
ALL CLASSES,1770,2020,Us Total
AHTANUM YCR 1,2134,2020,Washington
ALL CLASSES,1754,2020,Washington
AMARILLO VGXP01,1649,2020,Washington
APOLLO,2248,2020,Washington
AZACCA ADHA-483,1527,2020,Washington
BITTER GOLD,,2020,Washington
BRAVO,2308,2020,Washington
C/T/Z,2176,2020,Washington
CALYPSO,,2020,Washington
CASCADE,1551,2020,Washington
CASHMERE,1514,2020,Washington
CENTENNIAL,1640,2020,Washington
CHINOOK,1665,2020,Washington
CITRA HBC 394,1526,2020,Washington
CLUSTER,2065,2020,Washington
COMET,872,2020,Washington
CRYSTAL,,2020,Washington
DELTA,,2020,Washington
EKUANOT HBC 366,2158,2020,Washington
EL DORADO,1516,2020,Washington
EUREKA!,2332,2020,Washington
EXPERIMENTAL,1207,2020,Washington
GALENA,1838,2020,Washington
GLACIER,,2020,Washington
HALLERTAUER MAGNUM,,2020,Washington
PAHTO HBC 682,2019,2020,Washington
HORIZON,,2020,Washington
IDAHO 7,1736,2020,Washington
JARRYLO ADHA-881,1428,2020,Washington
LEMONDROP,,2020,Washington
LORAL HBC 291,1874,2020,Washington
LOTUS,,2020,Washington
MILLENNIUM,,2020,Washington
MOSAIC HBC 369,1998,2020,Washington
MT. HOOD,1139,2020,Washington
MT. RAINIER,1586,2020,Washington
NUGGET,,2020,Washington
OTHER VARIETIES,1737,2020,Washington
PALISADE YCR 4,2114,2020,Washington
PEKKO ADHA-871,1239,2020,Washington
SABRO HBC 438,1886,2020,Washington
SIMCOE YCR 14,1643,2020,Washington
SORACHI ACE,,2020,Washington
STERLING,,2020,Washington
STRATA OR 91331,,2020,Washington
SULTANA,,2020,Washington
SUMMIT,1096,2020,Washington
SUPER GALENA,2636,2020,Washington
TAHOMA,1588,2020,Washington
TETTNANGER,,2020,Washington
TRIUMPH,,2020,Washington
VANGUARD,,2020,Washington
WARRIOR YCR 5,1669,2020,Washington
WILLAMETTE,1458,2020,Washington
ALL CLASSES,1900,2021,Idaho
AMARILLO VGXP01,1813,2021,Idaho
APOLLO,,2021,Idaho
BRAVO,,2021,Idaho
C/T/Z,3169,2021,Idaho
CALYPSO,,2021,Idaho
CASCADE,1559,2021,Idaho
CASHMERE,1828,2021,Idaho
CENTENNIAL,,2021,Idaho
CHINOOK,2104,2021,Idaho
CITRA HBC 394,1413,2021,Idaho
CLUSTER,,2021,Idaho
COMET,1663,2021,Idaho
CRYSTAL,,2021,Idaho
EKUANOT HBC 366,,2021,Idaho
EL DORADO,1778,2021,Idaho
EUREKA!,2552,2021,Idaho
EXPERIMENTAL,,2021,Idaho
GALENA,,2021,Idaho
HALLERTAUER MAGNUM,,2021,Idaho
HALLERTAUER MITTELFRUHER,1272,2021,Idaho
IDAHO 7,2837,2021,Idaho
IDAHO GEM,,2021,Idaho
MOSAIC HBC 369,2141,2021,Idaho
MT. RAINIER,985,2021,Idaho
NORTHERN BREWER,1266,2021,Idaho
OTHER VARIETIES,1725,2021,Idaho
PALISADE YCR 4,,2021,Idaho
SAAZ,620,2021,Idaho
SABRO HBC 438,,2021,Idaho
SIMCOE YCR 14,1121,2021,Idaho
SUPER GALENA,,2021,Idaho
TRIUMPH,1063,2021,Idaho
WILLAMETTE,1311,2021,Idaho
ALL CLASSES,1705,2021,Oregon
AMARILLO VGXP01,2186,2021,Oregon
AZACCA ADHA-483,,2021,Oregon
CASCADE,1595,2021,Oregon
CENTENNIAL,1384,2021,Oregon
CHINOOK,1794,2021,Oregon
CITRA HBC 394,1414,2021,Oregon
COMET,,2021,Oregon
CRYSTAL,1816,2021,Oregon
DELTA,,2021,Oregon
EL DORADO,,2021,Oregon
EUREKA!,,2021,Oregon
EXPERIMENTAL,,2021,Oregon
FUGGLE,,2021,Oregon
GOLDING,927,2021,Oregon
HALLERTAUER MAGNUM,,2021,Oregon
HALLERTAUER MITTELFRUHER,,2021,Oregon
IDAHO 7,,2021,Oregon
IDAHO GEM,,2021,Oregon
LIBERTY,1506,2021,Oregon
MERIDIAN,,2021,Oregon
MILLENNIUM,,2021,Oregon
MOSAIC HBC 369,2077,2021,Oregon
MT. HOOD,1624,2021,Oregon
MT. RAINIER,1389,2021,Oregon
NUGGET,2162,2021,Oregon
OTHER VARIETIES,1780,2021,Oregon
PEKKO ADHA-871,,2021,Oregon
PERLE,,2021,Oregon
SABRO HBC 438,1749,2021,Oregon
SIMCOE YCR 14,1643,2021,Oregon
SORACHI ACE,,2021,Oregon
STERLING,1321,2021,Oregon
STRATA OR 91331,1889,2021,Oregon
SUPER GALENA,,2021,Oregon
TAHOMA,,2021,Oregon
TETTNANGER,,2021,Oregon
TRIUMPH,,2021,Oregon
WILLAMETTE,1461,2021,Oregon
ALL CLASSES,1900,2021,Us Total
AHTANUM YCR 1,2211,2021,Washington
ALL CLASSES,1932,2021,Washington
AMARILLO VGXP01,1659,2021,Washington
APOLLO,,2021,Washington
AZACCA ADHA-483,1909,2021,Washington
BITTER GOLD,,2021,Washington
BRAVO,2759,2021,Washington
C/T/Z,2656,2021,Washington
CALYPSO,,2021,Washington
CASCADE,1585,2021,Washington
CASHMERE,1395,2021,Washington
CENTENNIAL,1585,2021,Washington
CHINOOK,1851,2021,Washington
CITRA HBC 394,1580,2021,Washington
CLUSTER,2016,2021,Washington
COMET,1632,2021,Washington
CRYSTAL,,2021,Washington
DELTA,,2021,Washington
EKUANOT HBC 366,2608,2021,Washington
EL DORADO,1876,2021,Washington
EUREKA!,3022,2021,Washington
EXPERIMENTAL,1713,2021,Washington
GALENA,,2021,Washington
GLACIER,,2021,Washington
HALLERTAUER MAGNUM,,2021,Washington
PAHTO HBC 682,2463,2021,Washington
HORIZON,,2021,Washington
IDAHO 7,3197,2021,Washington
IDAHO GEM,,2021,Washington
JARRYLO ADHA-881,,2021,Washington
LEMONDROP,,2021,Washington
LORAL HBC 291,2088,2021,Washington
LOTUS,,2021,Washington
MILLENNIUM,,2021,Washington
MOSAIC HBC 369,2129,2021,Washington
MT. HOOD,,2021,Washington
MT. RAINIER,1635,2021,Washington
NORTHERN BREWER,,2021,Washington
NUGGET,,2021,Washington
OTHER VARIETIES,1934,2021,Washington
PALISADE YCR 4,1866,2021,Washington
PEKKO ADHA-871,2072,2021,Washington
SABRO HBC 438,2207,2021,Washington
SIMCOE YCR 14,1646,2021,Washington
SORACHI ACE,,2021,Washington
STERLING,,2021,Washington
STRATA OR 91331,,2021,Washington
SULTANA,,2021,Washington
SUMMIT,1351,2021,Washington
SUPER GALENA,2849,2021,Washington
TAHOMA,1055,2021,Washington
TETTNANGER,,2021,Washington
TRIUMPH,,2021,Washington
VANGUARD,,2021,Washington
WARRIOR YCR 5,2240,2021,Washington
WILLAMETTE,1200,2021,Washington
ALL CLASSES,1733,2022,Idaho
AMARILLO VGXP01,1458,2022,Idaho
APOLLO,,2022,Idaho
BRAVO,,2022,Idaho
C/T/Z,3027,2022,Idaho
CALYPSO,,2022,Idaho
CASCADE,1494,2022,Idaho
CASHMERE,1622,2022,Idaho
CENTENNIAL,,2022,Idaho
CHINOOK,1467,2022,Idaho
CITRA HBC 394,1515,2022,Idaho
CLUSTER,,2022,Idaho
COMET,1863,2022,Idaho
CRYSTAL,,2022,Idaho
EKUANOT HBC 366,,2022,Idaho
EL DORADO,1766,2022,Idaho
EUREKA!,2200,2022,Idaho
EXPERIMENTAL,,2022,Idaho
GALENA,,2022,Idaho
HALLERTAUER MAGNUM,,2022,Idaho
HALLERTAUER MITTELFRUHER,1649,2022,Idaho
IDAHO 7,2588,2022,Idaho
IDAHO GEM,,2022,Idaho
LOTUS,,2022,Idaho
MOSAIC HBC 369,2103,2022,Idaho
MT. RAINIER,1364,2022,Idaho
NORTHERN BREWER,0,2022,Idaho
OTHER VARIETIES,1617,2022,Idaho
PALISADE YCR 4,,2022,Idaho
SAAZ,955,2022,Idaho
SABRO HBC 438,,2022,Idaho
SIMCOE YCR 14,1208,2022,Idaho
SULTANA,,2022,Idaho
TALUS HBC 692,,2022,Idaho
TRIUMPH,871,2022,Idaho
WILLAMETTE,1393,2022,Idaho
ZAPPA,,2022,Idaho
ALL CLASSES,1729,2022,Oregon
AMARILLO VGXP01,1870,2022,Oregon
AZACCA ADHA-483,,2022,Oregon
C/T/Z,,2022,Oregon
CASCADE,1578,2022,Oregon
CENTENNIAL,1575,2022,Oregon
CHINOOK,1543,2022,Oregon
CITRA HBC 394,1562,2022,Oregon
COMET,,2022,Oregon
CRYSTAL,1739,2022,Oregon
EL DORADO,,2022,Oregon
EUREKA!,,2022,Oregon
EXPERIMENTAL,,2022,Oregon
FUGGLE,,2022,Oregon
GOLDING,,2022,Oregon
HALLERTAUER MAGNUM,,2022,Oregon
HALLERTAUER MITTELFRUHER,,2022,Oregon
IDAHO 7,,2022,Oregon
IDAHO GEM,,2022,Oregon
LIBERTY,,2022,Oregon
MERIDIAN,,2022,Oregon
MOSAIC HBC 369,2059,2022,Oregon
MT. HOOD,1252,2022,Oregon
MT. RAINIER,1473,2022,Oregon
NUGGET,2085,2022,Oregon
OTHER VARIETIES,1595,2022,Oregon
PEKKO ADHA-871,,2022,Oregon
SABRO HBC 438,1996,2022,Oregon
SIMCOE YCR 14,1646,2022,Oregon
SORACHI ACE,,2022,Oregon
STERLING,1559,2022,Oregon
STRATA OR 91331,2000,2022,Oregon
SUPER GALENA,,2022,Oregon
TAHOMA,,2022,Oregon
TALUS HBC 692,1483,2022,Oregon
TETTNANGER,,2022,Oregon
TRIUMPH,,2022,Oregon
WILLAMETTE,1489,2022,Oregon
ALL CLASSES,1694,2022,Us Total
AHTANUM YCR 1,2032,2022,Washington
ALL CLASSES,1679,2022,Washington
AMARILLO VGXP01,1486,2022,Washington
APOLLO,2483,2022,Washington
AZACCA ADHA-483,1559,2022,Washington
BITTER GOLD,,2022,Washington
BRAVO,2161,2022,Washington
C/T/Z,2256,2022,Washington
CALYPSO,,2022,Washington
CASCADE,1477,2022,Washington
CASHMERE,1521,2022,Washington
CENTENNIAL,1464,2022,Washington
CHINOOK,1335,2022,Washington
CITRA HBC 394,1365,2022,Washington
CLUSTER,1505,2022,Washington
COMET,1299,2022,Washington
CRYSTAL,,2022,Washington
DELTA,,2022,Washington
EKUANOT HBC 366,2153,2022,Washington
EL DORADO,1685,2022,Washington
EUREKA!,2205,2022,Washington
EXPERIMENTAL,1717,2022,Washington
GALENA,,2022,Washington
GLACIER,,2022,Washington
HALLERTAUER MAGNUM,,2022,Washington
PAHTO HBC 682,2132,2022,Washington
HORIZON,,2022,Washington
IDAHO 7,2755,2022,Washington
IDAHO GEM,,2022,Washington
LEMONDROP,,2022,Washington
LORAL HBC 291,1843,2022,Washington
LOTUS,,2022,Washington
MILLENNIUM,,2022,Washington
MOSAIC HBC 369,1963,2022,Washington
MT. HOOD,573,2022,Washington
MT. RAINIER,1563,2022,Washington
NORTHERN BREWER,,2022,Washington
NUGGET,,2022,Washington
OTHER VARIETIES,1577,2022,Washington
PALISADE YCR 4,1842,2022,Washington
PEKKO ADHA-871,1882,2022,Washington
SABRO HBC 438,2052,2022,Washington
SIMCOE YCR 14,1380,2022,Washington
SORACHI ACE,,2022,Washington
STERLING,,2022,Washington
STRATA OR 91331,,2022,Washington
SULTANA,,2022,Washington
SUMMIT,,2022,Washington
SUPER GALENA,2838,2022,Washington
TAHOMA,1310,2022,Washington
TALUS HBC 692,1703,2022,Washington
TETTNANGER,,2022,Washington
TRIUMPH,,2022,Washington
VANGUARD,,2022,Washington
WARRIOR YCR 5,1610,2022,Washington
WILLAMETTE,991,2022,Washington
ZAPPA,839,2022,Washington
ALL CLASSES,1949,2023,Idaho
AMARILLO VGXP01,1589,2023,Idaho
APOLLO,2744,2023,Idaho
BRAVO,,2023,Idaho
C/T/Z,2638,2023,Idaho
CALYPSO,,2023,Idaho
CASCADE,1957,2023,Idaho
CASHMERE,1321,2023,Idaho
CENTENNIAL,,2023,Idaho
CHINOOK,2047,2023,Idaho
CITRA HBC 394,1581,2023,Idaho
CLUSTER,,2023,Idaho
COMET,1877,2023,Idaho
CRYSTAL,,2023,Idaho
EKUANOT HBC 366,,2023,Idaho
EL DORADO,2256,2023,Idaho
ELANI YQH 1320,1158,2023,Idaho
EUREKA!,2308,2023,Idaho
EXPERIMENTAL,,2023,Idaho
GALENA,,2023,Idaho
HALLERTAUER MAGNUM,,2023,Idaho
HALLERTAUER MITTELFRUHER,1085,2023,Idaho
HELIOS HS15619,1736,2023,Idaho
IDAHO 7,2572,2023,Idaho
IDAHO GEM,,2023,Idaho
LOTUS,,2023,Idaho
MOSAIC HBC 369,2442,2023,Idaho
MT. RAINIER,1572,2023,Idaho
NORTHERN BREWER,0,2023,Idaho
OTHER VARIETIES,1778,2023,Idaho
PALISADE YCR 4,,2023,Idaho
SAAZ,524,2023,Idaho
SABRO HBC 438,,2023,Idaho
SIMCOE YCR 14,1312,2023,Idaho
SULTANA,,2023,Idaho
TALUS HBC 692,,2023,Idaho
TRIUMPH,,2023,Idaho
WILLAMETTE,1440,2023,Idaho
ALL CLASSES,1558,2023,Oregon
ALTUS,,2023,Oregon
AMARILLO VGXP01,1841,2023,Oregon
AZACCA ADHA-483,,2023,Oregon
CASCADE,1633,2023,Oregon
CENTENNIAL,1057,2023,Oregon
CHINOOK,1453,2023,Oregon
CITRA HBC 394,1290,2023,Oregon
COMET,,2023,Oregon
CRYSTAL,1422,2023,Oregon
EL DORADO,,2023,Oregon
EUREKA!,,2023,Oregon
EXPERIMENTAL,,2023,Oregon
GOLDING,,2023,Oregon
HALLERTAUER MAGNUM,,2023,Oregon
HALLERTAUER MITTELFRUHER,,2023,Oregon
IDAHO 7,,2023,Oregon
IDAHO GEM,,2023,Oregon
LIBERTY,835,2023,Oregon
MCKENZIE C 148,,2023,Oregon
MERIDIAN,,2023,Oregon
MOSAIC HBC 369,1907,2023,Oregon
MT. HOOD,1373,2023,Oregon
MT. RAINIER,1497,2023,Oregon
NUGGET,2236,2023,Oregon
OTHER VARIETIES,1934,2023,Oregon
SABRO HBC 438,,2023,Oregon
SIMCOE YCR 14,1225,2023,Oregon
SORACHI ACE,,2023,Oregon
STERLING,1859,2023,Oregon
STRATA OR 91331,1617,2023,Oregon
SUPER GALENA,,2023,Oregon
TAHOMA,1884,2023,Oregon
TALUS HBC 692,,2023,Oregon
TETTNANGER,,2023,Oregon
TRIUMPH,,2023,Oregon
WILLAMETTE,1524,2023,Oregon
ALL CLASSES,1915,2023,Us Total
AHTANUM YCR 1,,2023,Washington
ALL CLASSES,1971,2023,Washington
ALTUS,,2023,Washington
AMARILLO VGXP01,1686,2023,Washington
APOLLO,2989,2023,Washington
AZACCA ADHA-483,1980,2023,Washington
BITTER GOLD,,2023,Washington
BRAVO,2896,2023,Washington
C/T/Z,2465,2023,Washington
CALYPSO,,2023,Washington
CASCADE,1957,2023,Washington
CASHMERE,1949,2023,Washington
CENTENNIAL,1191,2023,Washington
CHINOOK,1812,2023,Washington
CITRA HBC 394,1585,2023,Washington
CLUSTER,1722,2023,Washington
COMET,1857,2023,Washington
CRYSTAL,,2023,Washington
EKUANOT HBC 366,2335,2023,Washington
EL DORADO,2093,2023,Washington
ELANI YQH 1320,2403,2023,Washington
EUREKA!,3028,2023,Washington
EXPERIMENTAL,1769,2023,Washington
GALENA,,2023,Washington
GLACIER,,2023,Washington
GOLDING,,2023,Washington
HALLERTAUER MAGNUM,,2023,Washington
PAHTO HBC 682,2032,2023,Washington
HELIOS HS15619,1733,2023,Washington
IDAHO 7,3062,2023,Washington
IDAHO GEM,,2023,Washington
LEMONDROP,,2023,Washington
LORAL HBC 291,1989,2023,Washington
LOTUS,,2023,Washington
MCKENZIE C 148,,2023,Washington
MOSAIC HBC 369,2207,2023,Washington
MT. HOOD,,2023,Washington
MT. RAINIER,2031,2023,Washington
NORTHERN BREWER,,2023,Washington
NUGGET,,2023,Washington
OTHER VARIETIES,2177,2023,Washington
PALISADE YCR 4,2268,2023,Washington
PEKKO ADHA-871,2319,2023,Washington
SABRO HBC 438,3034,2023,Washington
SIMCOE YCR 14,1539,2023,Washington
SORACHI ACE,,2023,Washington
STRATA OR 91331,,2023,Washington
SULTANA,,2023,Washington
SUMMIT,,2023,Washington
SUPER GALENA,2970,2023,Washington
TAHOMA,1589,2023,Washington
TALUS HBC 692,1967,2023,Washington
TETTNANGER,,2023,Washington
TRIUMPH,,2023,Washington
VANGUARD,,2023,Washington
WARRIOR YCR 5,2070,2023,Washington
WILLAMETTE,971,2023,Washington
ZAPPA,,2023,Washington
ALL CLASSES,2273,2024,Idaho
AMARILLO VGXP01,1891,2024,Idaho
APOLLO,2709,2024,Idaho
BRAVO,,2024,Idaho
C/T/Z,3336,2024,Idaho
CALYPSO,,2024,Idaho
CASCADE,2136,2024,Idaho
CASHMERE,,2024,Idaho
CENTENNIAL,,2024,Idaho
CHINOOK,1903,2024,Idaho
CITRA HBC 394,1579,2024,Idaho
COMET,,2024,Idaho
CRYSTAL,,2024,Idaho
EKUANOT HBC 366,,2024,Idaho
EL DORADO,,2024,Idaho
ELANI YQH 1320,2673,2024,Idaho
EUREKA!,2592,2024,Idaho
EXPERIMENTAL,1691,2024,Idaho
GALENA,,2024,Idaho
HALLERTAUER MAGNUM,,2024,Idaho
HALLERTAUER MITTELFRUHER,1693,2024,Idaho
PAHTO HBC 682,,2024,Idaho
HELIOS HS15619,3092,2024,Idaho
IDAHO 7,2680,2024,Idaho
LOTUS,,2024,Idaho
MOSAIC HBC 369,2644,2024,Idaho
OTHER VARIETIES,2013,2024,Idaho
SAAZ,813,2024,Idaho
SABRO HBC 438,,2024,Idaho
SIMCOE YCR 14,1392,2024,Idaho
SULTANA,,2024,Idaho
TALUS HBC 692,,2024,Idaho
TRIUMPH,,2024,Idaho
WILLAMETTE,1501,2024,Idaho
ALL CLASSES,1732,2024,Oregon
ALTUS,,2024,Oregon
AMARILLO VGXP01,1727,2024,Oregon
AZACCA ADHA-483,,2024,Oregon
C/T/Z,,2024,Oregon
CASCADE,1634,2024,Oregon
CASHMERE,,2024,Oregon
CENTENNIAL,1459,2024,Oregon
CHINOOK,1510,2024,Oregon
CITRA HBC 394,1698,2024,Oregon
COMET,,2024,Oregon
CRYSTAL,1432,2024,Oregon
EUREKA!,,2024,Oregon
GOLDING,,2024,Oregon
HALLERTAUER MAGNUM,,2024,Oregon
HALLERTAUER MITTELFRUHER,,2024,Oregon
HELIOS HS15619,,2024,Oregon
IDAHO 7,,2024,Oregon
IDAHO GEM,,2024,Oregon
LIBERTY,1233,2024,Oregon
MCKENZIE C 148,,2024,Oregon
MERIDIAN,,2024,Oregon
MOSAIC HBC 369,2203,2024,Oregon
MT. HOOD,1548,2024,Oregon
MT. RAINIER,,2024,Oregon
NUGGET,2268,2024,Oregon
OTHER VARIETIES,1757,2024,Oregon
SABRO HBC 438,,2024,Oregon
SIMCOE YCR 14,1337,2024,Oregon
SORACHI ACE,,2024,Oregon
STERLING,1451,2024,Oregon
STRATA OR 91331,1961,2024,Oregon
TAHOMA,,2024,Oregon
TALUS HBC 692,,2024,Oregon
TETTNANGER,,2024,Oregon
TRIUMPH,,2024,Oregon
WILLAMETTE,1465,2024,Oregon
ALL CLASSES,1944,2024,Us Total
AHTANUM YCR 1,,2024,Washington
ALL CLASSES,1922,2024,Washington
ALTUS,,2024,Washington
AMARILLO VGXP01,1419,2024,Washington
APOLLO,2682,2024,Washington
AZACCA ADHA-483,2020,2024,Washington
BITTER GOLD,,2024,Washington
BRAVO,2711,2024,Washington
C/T/Z,2496,2024,Washington
CALYPSO,,2024,Washington
CASCADE,1839,2024,Washington
CASHMERE,1695,2024,Washington
CENTENNIAL,1621,2024,Washington
CHINOOK,1722,2024,Washington
CITRA HBC 394,1573,2024,Washington
CLUSTER,1855,2024,Washington
COMET,1558,2024,Washington
CRYSTAL,,2024,Washington
EKUANOT HBC 366,2021,2024,Washington
EL DORADO,1580,2024,Washington
ELANI YQH 1320,2247,2024,Washington
EUREKA!,3119,2024,Washington
EXPERIMENTAL,1924,2024,Washington
GALENA,,2024,Washington
GLACIER,,2024,Washington
GOLDING,,2024,Washington
HALLERTAUER MAGNUM,,2024,Washington
HALLERTAUER MITTELFRUHER,,2024,Washington
PAHTO HBC 682,2043,2024,Washington
HELIOS HS15619,2010,2024,Washington
IDAHO 7,2598,2024,Washington
LEMONDROP,,2024,Washington
LORAL HBC 291,1807,2024,Washington
LOTUS,,2024,Washington
MOSAIC HBC 369,2058,2024,Washington
MT. HOOD,,2024,Washington
MT. RAINIER,,2024,Washington
NORTHERN BREWER,,2024,Washington
NUGGET,,2024,Washington
OTHER VARIETIES,1738,2024,Washington
PALISADE YCR 4,2208,2024,Washington
PEKKO ADHA-871,,2024,Washington
SABRO HBC 438,2397,2024,Washington
SIMCOE YCR 14,1527,2024,Washington
SORACHI ACE,,2024,Washington
STERLING,,2024,Washington
STRATA OR 91331,,2024,Washington
SULTANA,,2024,Washington
SUMMIT,,2024,Washington
SUPER GALENA,2921,2024,Washington
TAHOMA,1329,2024,Washington
TALUS HBC 692,1864,2024,Washington
TETTNANGER,,2024,Washington
VANGUARD,,2024,Washington
WARRIOR YCR 5,1723,2024,Washington
WILLAMETTE,1320,2024,Washington
ZAPPA,,2024,Washington
